Data_Import_Number__c,Name,Phone,Fax,Website,IRS_Status__c,LegalStatus__c,YearIncorporated__c,Active Status
7422547,Bear Valley Community Healthcare District,,909-878-8282,www.bvchd.com,None or unknown,Nonprofit - Incorporated,,Active
58227956,Bear Valley Hospice,,909-281-2551,www.bearvalleyhospice.com,None or unknown,Commercial,2013,Active
7422415,Bear Valley Unified School District,,909-866-2040,https://www.bearvalleyusd.org/,None or unknown,Government - State,,Active
73495803,Beaumont - Cherry Valley Recreation and Park District,,951-845-9557,www.bcvparks.com,None or unknown,Special District,,Active
73495798,Beaumont Chamber of Commerce,,951-769-9080,www.beaumontcachamber.com,None or unknown,Nonprofit - Incorporated,1954,Active
73495799,Beaumont Library District,,951-845-6217,www.bld.lib.ca.us,None or unknown,Special District,1911,Active
73501633,Beaumont Presbyterian Church,,,www.tableofplenty.org/,501(c)(3),Faith-based,2011,Active
73501878,Beaumont Seventh Day Adventist Church,,,www.beaumontsdachurch.com,501(c)(3),Faith-based,,Active
73495802,Beaumont Unified School District,951-845-2681,951-845-1043,www.beaumontusd.us,None or unknown,Government - State,,Active
7422395,Benevolent Animal Rescue Committee,,,www.barconline.com,501(c)(3),Nonprofit - Incorporated,1992,Active
69355771,Believers Chapel,,,http://believerschapel.com/believers-chapel-food-bank/,501(c)(3),Faith-based,,Active
73502296,Ben Clymer's The Body Shop,,909-795-6605,www.benclymers.com,Commercial,Commercial,,Inactive
7422985,Bergmann & Moore,,301-986-0845,www.vetlawyers.com,None or unknown,Commercial,,Active
73496114,Bermuda Dunes Learning Center,,760-345-6992,https://bermudaduneslearningcenter.com/,Commercial,Commercial,1998,Active
7422380,Best Opportunities,,760-255-2344,www.bestopportunities.org,501(c)(3),Nonprofit - Incorporated,,Active
73501348,Bethany Christian Services,,951-342-0205,www.bethany.org,501(c)(3),Faith-based,1992,Active
7422647,Bethany Christian Services,,,www.bethany.org/riverside,501(c)(3),Faith-based,,Active
73495804,Bethel Christian Center,,951-359-3372,https://www.bethelchristiancenter.com/,501(c)(3),Faith-based,,Active
93969501,Bethel Residency,,,https://bethelresidency.com/,Commercial,Commercial,,Active
7422657,"Better Business Bureau - Pacific Southwest, Central & Inland California",,,https://www.bbb.org/,501(c)(3),Nonprofit - Incorporated,1912,Active
73496171,Bible Fellowship Church,,,www.bfchemet.org,501(c)(3),Faith-based,,Active
7422453,Bienestar Human Services,,,https://www.bienestar.org/,501(c)(3),Nonprofit - Incorporated,1995,Active
7422948,Big Bear Discovery Center,,909-866-1781,https://mountainsfoundation.org/programs/big-bear-discovery-center/,501(c)(3),Nonprofit - Incorporated,,Active
7422471,Big Bear Fire Department,,909-866-8288,bigbearfire.com/,None or unknown,Special District,,Active
69468206,Big Bear Four Square Church,,,http://www.bigbearfoursquare.com/,501(c)(3),Faith-based,,Active
73496161,Big Brothers Big Sisters of the Desert,,760-568-2282,www.bbbsdesert.org,501(c)(3),Nonprofit - Incorporated,1995,Active
20788659,Big Brothers Big Sisters of the Inland Empire,,909-303-2680,www.iebigs.org,501(c)(3),Nonprofit - Incorporated,,Active
73496089,Birth Choice Centers,951-766-6100,,birthchoicedesert.org,501(c)(3),Faith-based,1991,Active
7422918,Blessing Center,,,www.theblessingcenterredlands.org/,501(c)(3),Faith-based,1998,Active
7422675,Blind Childrens Center,,323-665-3828,www.blindchildrenscenter.org,501(c)(3),Nonprofit - Incorporated,1938,Active
7422182,Blindness Support Services,,951-341-6335,www.blindnesssupport.com,501(c)(3),Nonprofit - Incorporated,1992,Active
75004765,Bloomington Pentecostal Church of God,,,,501(c)(3),Faith-based,,Active
73495806,Blythe Chamber of Commerce,,760-922-4010,www.blythechamber.yumawebteam.com,Registered charity,Nonprofit - Incorporated,1967,Active
7422183,Blythe Emergency Food Pantry,,,,501(c)(3),Nonprofit - Incorporated,,Active
7422185,Bonnie Baker Senior Center,,760-665-9475,https://www.facebook.com/pages/bonnie-baker-senior-center/1470354856612438,501(c)(3),Nonprofit - Incorporated,1992,Active
7422189,Boy Scouts of America - California Inland Empire Council,,909-793-0306,www.ciecbsa.org,501(c)(3),Nonprofit - Incorporated,1972,Active
73495812,Boys & Girls Club of Cathedral City,,,www.bgcccity.org,501(c)(3),Nonprofit - Incorporated,1980,Active
7422191,Boys & Girls Club of Fontana,,909-355-8663,www.bgcfontana.com,501(c)(3),Nonprofit - Incorporated,1989,Active
7422186,Boys & Girls Club of Greater Redlands - Riverside,,888-822-6576,www.begreatie.org,501(c)(3),Nonprofit - Incorporated,1967,Active
73495907,Boys & Girls Club of Palm Springs,,,https://www.bgcps.org,501(c)(3),Nonprofit - Incorporated,1948,Active
73496306,Boys & Girls Club of San Gorgonio Pass,,951-922-0009,www.bgcsgpass.com,501(c)(3),Nonprofit - Incorporated,,Active
7422642,Boys & Girls Club of the Hi Desert,,760-228-3017,https://bgchd.org/,501(c)(3),Nonprofit - Incorporated,1983,Active
73495908,Boys & Girls Clubs of Coachella Valley,,760-776-9111,www.bgcofcv.org,501(c)(3),Nonprofit - Incorporated,1964,Active
7422382,Boys Republic,,909-627-9222,www.boysrepublic.org,501(c)(3),Nonprofit - Incorporated,,Active
7422066,Braille Institute of America,760-321-1111,,www.brailleinstitute.org,501(c)(3),Nonprofit - Incorporated,1929,Active
73495814,Brain Injury Association of America,,,https://www.biausa.org/find-bia/california,501(c)(3),Nonprofit - Incorporated,1980,Active
7422924,Brainstorming 4 Us,,,www.brainstorming4us.com,501(c)(3),Nonprofit - Incorporated,2006,Active
7422242,Breakthrough T1D,,949-553-8813,https://www.breakthrought1d.org/,501(c)(3),Nonprofit - Incorporated,1970,Active
73496267,Breast Cancer Solutions,,866-781-6068,www.breastcancersolutions.org,501(c)(3),Nonprofit - Incorporated,1998,Active
7422756,Brethren Disaster Ministries,800-323-8039 x 360,410-635-8739,www.brethren.org,501(c)(3),Nonprofit - Incorporated,1960,Active
31834722,Bridge Church,,,https://www.thebridgechurchnaz.com/,501(c)(3),Faith-based,,Active
73500379,Bridge Church,,951-698-9906,www.thebridgechurch.tv,501(c)(3),Faith-based,,Active
73502207,Bridge-Consortium,626-483-1049,626-449-0801,thebridge-consortium.com,None or unknown,Commercial,,Active
88461373,Bridges 2 Hope,,,https://thebridges2hope.com/,501(c)(3),Nonprofit - Incorporated,,Active
73496195,Bright Path,951-901-8105,888-909-4209,https://brightpathcenter.org,501(c)(3),Nonprofit - Incorporated,2005,Active
51349667,Bright Prospect,,909-623-9008,www.brightprospect.org,501(c)(3),Nonprofit - Incorporated,,Active
90985427,BrightLife Kids,,,www.brightlife.kids/ca,501(c)(3),None or unknown,2019,Active
7422309,Buddhist Tzu Chi Foundation,,909-447-7948,www.tzuchi.us,501(c)(3),Faith-based,,Active
7422194,Building A Generation,,,www.buildingageneration.org,501(c)(3),Nonprofit - Incorporated,1996,Active
74232216,Building Up Lives Foundation,,,https://www.buildinguplivesfoundation.org,501(c)(3),Nonprofit - Incorporated,2019,Active
73496061,Bureau of Land Management,,,blm.gov,None or unknown,Government - Federal,,Active
73496312,Burrtec Waste and Recycling Services,,,www.burrtec.com,Commercial,Commercial,,Active
73495816,Cabazon Band of Mission Indians,,760-347-7880,https://www.fantasyspringsresort.com/cbmi/,None or unknown,Tribal,1996,Active
93826406,Calicinto Ranch,,,https://www.calicintoranch.org/,501(c)(3),Nonprofit - Incorporated,,Inactive
73495818,California Baptist University,,,www.calbaptist.edu,501(c)(3),Faith-based,,Active
73500342,California CareForce,,916-772-9220,https://www.californiacareforce.org/,501(c)(3),Nonprofit - Incorporated,,Active
7422451,California Conservation Corps - Inland Empire Center,,855-279-5086,www.ccc.ca.gov,None or unknown,Government - State,,Active
7422789,California Dental Association,,916-498-6182,www.cda.org,501(c)(3),Nonprofit - Incorporated,,Active
7422882,California Department of Education,,916-319-0175,www.cde.ca.gov,None or unknown,Government - State,,Active
7422067,California Department of Fish and Wildlife - Inland Deserts Region,,,www.wildlife.ca.gov,None or unknown,Government - State,,Active
7422991,California Department of Food and Agriculture,800-735-2922,,www.cdfa.ca.gov,None or unknown,Government - State,1977,Active
7422048,California Department of Tax and Fee Administration,,951-680-6426,www.cdtfa.ca.gov,None or unknown,Government - State,,Active
7422949,California Endowment,,,www.calendow.org,501(c)(3),Nonprofit - Incorporated,,Active
73495819,California Family Life Center,,951-652-8287,www.cflckids.org,501(c)(3),Nonprofit - Incorporated,1997,Active
93702942,California Family Urgent Response System,,,https://cal-furs.org/,None or unknown,Nonprofit - Incorporated,,Active
73495817,California Guard,,,www.calguard.ca.gov,None or unknown,Government - State,,Active
7422798,California Highway Patrol - Inland Division,,,www.chp.ca.gov,None or unknown,Government - State,1929,Active
7422030,California Indian Legal Services,,,www.calindian.org,501(c)(3),Nonprofit - Incorporated,1968,Active
73495821,California Indian Manpower Consortium,951-784-9962,916-641-6338,www.cimcinc.org,501(c)(3),Nonprofit - Incorporated,1978,Active
33359199,California Lions Friends in Sight,,,clfis.info,501(c)(3),Nonprofit - Incorporated,1940,Active
7422023,California Lupus Foundation,,,www.lupussocal.org,501(c)(3),Nonprofit - Incorporated,1996,Active
73496146,California Mentor,,,https://www.ca-mentor.com,501(c)(3),Nonprofit - Incorporated,,Active
55228475,California Room and Board Coalition,,,https://www.allhoursadultcare.com/,None or unknown,Coalition,,Active
7422990,California Route 66 Museum,,760-951-0509,www.califrt66museum.org,501(c)(3),Nonprofit - Incorporated,,Active
73495823,California School for the Deaf,951-824-8114,951-320-6355,csdr-cde.ca.gov,None or unknown,Government - State,,Active
7422106,California Society of Certified Public Accountants,,,www.calcpa.org,501(c)(3),Nonprofit - Incorporated,,Active
7422516,California State University San Bernardino,,,www.csusb.edu,None or unknown,Government - State,1965,Active
73495820,California-Hawaii Elks Association,,,www.chea-elks.org,501(c)(3),Nonprofit - Incorporated,,Active
73496081,Calimesa Chamber of Commerce,,,www.calimesachamber.com,None or unknown,Nonprofit - Incorporated,1962,Active
73496109,Calimesa Seventh Day Adventist Church,,909-795-8205,www.calimesasda.com,501(c)(3),Faith-based,,Active
7422592,Call for Life Pregnancy Help Center,,,www.call-4-life.com,501(c)(3),Faith-based,,Active
22834894,Calvary Chapel Antorcha De Fe,,,https://www.calvaryadf.org/,501(c)(3),Faith-based,2008,Active
74965553,Calvary Chapel Apple Valley,,,https://www.calvaryav.org/,501(c)(3),Faith-based,,Active
73500414,Calvary Chapel Inland,,,www.calvarychapelinland.org,501(c)(3),Faith-based,1994,Active
73501899,Calvary Chapel Jurupa Valley,,,www.calvarychapeljurupavalley.com,501(c)(3),Faith-based,,Active
73496123,Calvary Chapel Romoland,,,www.ccromoland.org,501(c)(3),Faith-based,,Active
73496252,Calvary Christian Center,,,https://www.calvarychristiancenter.org/,501(c)(3),Faith-based,,Active
73495826,Calvary Presbyterian Church,,,www.calvarypresch.org,501(c)(3),Faith-based,1890,Active
73495827,Cancer Federation,,951-849-0156,www.cancerfed.org,501(c)(3),Nonprofit - Incorporated,1977,Active
7422035,Canine Companions,,,www.canine.org,501(c)(3),Nonprofit - Incorporated,1979,Active
7422260,Canine Support Teams,,,www.caninesupportteams.org,501(c)(3),Nonprofit - Incorporated,,Active
73118671,Canyon Children's Legal Services,,,https://www.ca-ccls.org/,Commercial,Nonprofit - Incorporated,,Active
7422846,Canyon Ridge Hospital,,,www.canyonridgehospital.com,None or unknown,Commercial,,Active
59105254,Caramel Connections Foundation,,,https://www.caramelconnections.org,501(c)(3),Nonprofit - Incorporated,2016,Active
61479388,Care Advocates,,909-266-0644,caoca.org,501(c)(3),Nonprofit - Incorporated,2017,Active
73495851,Care Connexxus,,951-509-2578,www.careconnexxus.org,501(c)(3),Nonprofit - Incorporated,1971,Active
78798616,Care-A-Van,,,https://www.careavantransit.com/,501(c)(3),Nonprofit - Incorporated,1994,Active
51027530,Career Institute,,,www.cinow.org,501(c)(3),Nonprofit - Incorporated,1994,Active
